flow,timestamp
111.7,2018-03-05 00:00:00
99.7,2018-03-05 00:15:00
67.7,2018-03-05 00:30:00
60.3,2018-03-05 00:45:00
61.0,2018-03-05 01:00:00
41.3,2018-03-05 01:15:00
42.1,2018-03-05 01:30:00
36.9,2018-03-05 01:45:00
33.0,2018-03-05 02:00:00
40.3,2018-03-05 02:15:00
40.7,2018-03-05 02:30:00
50.6,2018-03-05 02:45:00
69.3,2018-03-05 03:00:00
91.3,2018-03-05 03:15:00
105.4,2018-03-05 03:30:00
105.1,2018-03-05 03:45:00
135.0,2018-03-05 04:00:00
186.3,2018-03-05 04:15:00
241.9,2018-03-05 04:30:00
257.7,2018-03-05 04:45:00
297.6,2018-03-05 05:00:00
343.7,2018-03-05 05:15:00
373.0,2018-03-05 05:30:00
389.3,2018-03-05 05:45:00
450.0,2018-03-05 06:00:00
625.6,2018-03-05 06:15:00
815.3,2018-03-05 06:30:00
910.3,2018-03-05 06:45:00
1070.4,2018-03-05 07:00:00
1260.0,2018-03-05 07:15:00
1387.3,2018-03-05 07:30:00
1388.0,2018-03-05 07:45:00
1293.4,2018-03-05 08:00:00
1258.0,2018-03-05 08:15:00
1199.7,2018-03-05 08:30:00
1074.7,2018-03-05 08:45:00
1040.3,2018-03-05 09:00:00
1046.3,2018-03-05 09:15:00
1059.0,2018-03-05 09:30:00
990.3,2018-03-05 09:45:00
1055.3,2018-03-05 10:00:00
935.0,2018-03-05 10:15:00
984.0,2018-03-05 10:30:00
949.7,2018-03-05 10:45:00
914.7,2018-03-05 11:00:00
917.3,2018-03-05 11:15:00
922.0,2018-03-05 11:30:00
920.7,2018-03-05 11:45:00
887.6,2018-03-05 12:00:00
933.3,2018-03-05 12:15:00
940.6,2018-03-05 12:30:00
946.4,2018-03-05 12:45:00
949.7,2018-03-05 13:00:00
986.6,2018-03-05 13:15:00
1016.0,2018-03-05 13:30:00
994.3,2018-03-05 13:45:00
1005.0,2018-03-05 14:00:00
1016.4,2018-03-05 14:15:00
1003.4,2018-03-05 14:30:00
955.7,2018-03-05 14:45:00
1012.3,2018-03-05 15:00:00
1026.0,2018-03-05 15:15:00
1110.7,2018-03-05 15:30:00
1140.0,2018-03-05 15:45:00
1267.6,2018-03-05 16:00:00
1402.7,2018-03-05 16:15:00
1365.0,2018-03-05 16:30:00
1428.7,2018-03-05 16:45:00
1427.3,2018-03-05 17:00:00
1313.3,2018-03-05 17:15:00
1317.7,2018-03-05 17:30:00
1294.4,2018-03-05 17:45:00
1312.3,2018-03-05 18:00:00
1275.4,2018-03-05 18:15:00
1050.0,2018-03-05 18:30:00
926.7,2018-03-05 18:45:00
857.0,2018-03-05 19:00:00
814.3,2018-03-05 19:15:00
716.4,2018-03-05 19:30:00
656.7,2018-03-05 19:45:00
606.0,2018-03-05 20:00:00
563.3,2018-03-05 20:15:00
469.0,2018-03-05 20:30:00
427.0,2018-03-05 20:45:00
410.0,2018-03-05 21:00:00
392.0,2018-03-05 21:15:00
367.3,2018-03-05 21:30:00
303.0,2018-03-05 21:45:00
301.0,2018-03-05 22:00:00
261.6,2018-03-05 22:15:00
213.7,2018-03-05 22:30:00
214.3,2018-03-05 22:45:00
182.7,2018-03-05 23:00:00
158.4,2018-03-05 23:15:00
164.0,2018-03-05 23:30:00
114.7,2018-03-05 23:45:00
103.6,2018-03-06 00:00:00
99.7,2018-03-06 00:15:00
76.4,2018-03-06 00:30:00
72.6,2018-03-06 00:45:00
62.1,2018-03-06 01:00:00
54.7,2018-03-06 01:15:00
46.4,2018-03-06 01:30:00
40.7,2018-03-06 01:45:00
39.3,2018-03-06 02:00:00
51.0,2018-03-06 02:15:00
54.6,2018-03-06 02:30:00
58.1,2018-03-06 02:45:00
66.3,2018-03-06 03:00:00
86.0,2018-03-06 03:15:00
100.6,2018-03-06 03:30:00
114.7,2018-03-06 03:45:00
164.9,2018-03-06 04:00:00
214.0,2018-03-06 04:15:00
279.3,2018-03-06 04:30:00
336.4,2018-03-06 04:45:00
342.0,2018-03-06 05:00:00
366.0,2018-03-06 05:15:00
398.7,2018-03-06 05:30:00
428.0,2018-03-06 05:45:00
461.1,2018-03-06 06:00:00
662.7,2018-03-06 06:15:00
933.4,2018-03-06 06:30:00
964.0,2018-03-06 06:45:00
1240.0,2018-03-06 07:00:00
1364.0,2018-03-06 07:15:00
1492.1,2018-03-06 07:30:00
1540.0,2018-03-06 07:45:00
1438.7,2018-03-06 08:00:00
1474.4,2018-03-06 08:15:00
1379.0,2018-03-06 08:30:00
1293.3,2018-03-06 08:45:00
1272.0,2018-03-06 09:00:00
1200.0,2018-03-06 09:15:00
1199.0,2018-03-06 09:30:00
1085.7,2018-03-06 09:45:00
1139.3,2018-03-06 10:00:00
1060.4,2018-03-06 10:15:00
1058.3,2018-03-06 10:30:00
1005.7,2018-03-06 10:45:00
965.4,2018-03-06 11:00:00
917.1,2018-03-06 11:15:00
969.0,2018-03-06 11:30:00
950.4,2018-03-06 11:45:00
953.7,2018-03-06 12:00:00
982.4,2018-03-06 12:15:00
957.7,2018-03-06 12:30:00
1006.7,2018-03-06 12:45:00
964.4,2018-03-06 13:00:00
1029.0,2018-03-06 13:15:00
1041.4,2018-03-06 13:30:00
1032.3,2018-03-06 13:45:00
1033.7,2018-03-06 14:00:00
1041.3,2018-03-06 14:15:00
1035.1,2018-03-06 14:30:00
1038.3,2018-03-06 14:45:00
1043.4,2018-03-06 15:00:00
1099.7,2018-03-06 15:15:00
1234.0,2018-03-06 15:30:00
1239.0,2018-03-06 15:45:00
1326.7,2018-03-06 16:00:00
1443.0,2018-03-06 16:15:00
1515.6,2018-03-06 16:30:00
1558.6,2018-03-06 16:45:00
1478.3,2018-03-06 17:00:00
1446.0,2018-03-06 17:15:00
1399.9,2018-03-06 17:30:00
1321.0,2018-03-06 17:45:00
1318.7,2018-03-06 18:00:00
1389.3,2018-03-06 18:15:00
1249.4,2018-03-06 18:30:00
1177.6,2018-03-06 18:45:00
1026.1,2018-03-06 19:00:00
966.4,2018-03-06 19:15:00
869.3,2018-03-06 19:30:00
740.3,2018-03-06 19:45:00
651.7,2018-03-06 20:00:00
621.7,2018-03-06 20:15:00
548.0,2018-03-06 20:30:00
476.4,2018-03-06 20:45:00
412.7,2018-03-06 21:00:00
440.0,2018-03-06 21:15:00
415.7,2018-03-06 21:30:00
381.7,2018-03-06 21:45:00
396.0,2018-03-06 22:00:00
335.9,2018-03-06 22:15:00
285.0,2018-03-06 22:30:00
246.4,2018-03-06 22:45:00
204.7,2018-03-06 23:00:00
187.7,2018-03-06 23:15:00
176.1,2018-03-06 23:30:00
128.3,2018-03-06 23:45:00
112.6,2018-03-07 00:00:00
94.3,2018-03-07 00:15:00
95.3,2018-03-07 00:30:00
60.0,2018-03-07 00:45:00
69.0,2018-03-07 01:00:00
52.3,2018-03-07 01:15:00
50.0,2018-03-07 01:30:00
44.3,2018-03-07 01:45:00
49.4,2018-03-07 02:00:00
43.7,2018-03-07 02:15:00
44.9,2018-03-07 02:30:00
51.0,2018-03-07 02:45:00
57.4,2018-03-07 03:00:00
81.4,2018-03-07 03:15:00
89.7,2018-03-07 03:30:00
109.4,2018-03-07 03:45:00
133.3,2018-03-07 04:00:00
191.6,2018-03-07 04:15:00
223.7,2018-03-07 04:30:00
300.0,2018-03-07 04:45:00
306.0,2018-03-07 05:00:00
325.4,2018-03-07 05:15:00
420.1,2018-03-07 05:30:00
416.7,2018-03-07 05:45:00
459.4,2018-03-07 06:00:00
651.1,2018-03-07 06:15:00
949.4,2018-03-07 06:30:00
1056.0,2018-03-07 06:45:00
1213.7,2018-03-07 07:00:00
1379.3,2018-03-07 07:15:00
1469.0,2018-03-07 07:30:00
1501.3,2018-03-07 07:45:00
1358.7,2018-03-07 08:00:00
1250.7,2018-03-07 08:15:00
1284.6,2018-03-07 08:30:00
1366.0,2018-03-07 08:45:00
1299.9,2018-03-07 09:00:00
1267.7,2018-03-07 09:15:00
1237.3,2018-03-07 09:30:00
1246.7,2018-03-07 09:45:00
1133.4,2018-03-07 10:00:00
1035.7,2018-03-07 10:15:00
1070.4,2018-03-07 10:30:00
1002.7,2018-03-07 10:45:00
985.7,2018-03-07 11:00:00
1033.9,2018-03-07 11:15:00
1055.0,2018-03-07 11:30:00
999.9,2018-03-07 11:45:00
1011.7,2018-03-07 12:00:00
1055.1,2018-03-07 12:15:00
1113.0,2018-03-07 12:30:00
1068.0,2018-03-07 12:45:00
1035.6,2018-03-07 13:00:00
1104.7,2018-03-07 13:15:00
1073.0,2018-03-07 13:30:00
1047.4,2018-03-07 13:45:00
1132.9,2018-03-07 14:00:00
1096.7,2018-03-07 14:15:00
1113.7,2018-03-07 14:30:00
1122.0,2018-03-07 14:45:00
1104.4,2018-03-07 15:00:00
1201.0,2018-03-07 15:15:00
1240.6,2018-03-07 15:30:00
1295.3,2018-03-07 15:45:00
1411.0,2018-03-07 16:00:00
1517.3,2018-03-07 16:15:00
1420.7,2018-03-07 16:30:00
1416.7,2018-03-07 16:45:00
1490.6,2018-03-07 17:00:00
1495.3,2018-03-07 17:15:00
1426.0,2018-03-07 17:30:00
1370.7,2018-03-07 17:45:00
1276.4,2018-03-07 18:00:00
1251.3,2018-03-07 18:15:00
1236.0,2018-03-07 18:30:00
1229.0,2018-03-07 18:45:00
1179.4,2018-03-07 19:00:00
1062.7,2018-03-07 19:15:00
1020.7,2018-03-07 19:30:00
827.6,2018-03-07 19:45:00
676.3,2018-03-07 20:00:00
663.0,2018-03-07 20:15:00
593.9,2018-03-07 20:30:00
562.0,2018-03-07 20:45:00
512.0,2018-03-07 21:00:00
535.3,2018-03-07 21:15:00
420.7,2018-03-07 21:30:00
453.0,2018-03-07 21:45:00
401.3,2018-03-07 22:00:00
330.4,2018-03-07 22:15:00
291.3,2018-03-07 22:30:00
250.3,2018-03-07 22:45:00
260.0,2018-03-07 23:00:00
201.3,2018-03-07 23:15:00
189.3,2018-03-07 23:30:00
135.7,2018-03-07 23:45:00
104.0,2018-03-08 00:00:00
104.0,2018-03-08 00:15:00
93.7,2018-03-08 00:30:00
84.7,2018-03-08 00:45:00
65.3,2018-03-08 01:00:00
62.3,2018-03-08 01:15:00
49.1,2018-03-08 01:30:00
44.7,2018-03-08 01:45:00
43.0,2018-03-08 02:00:00
53.0,2018-03-08 02:15:00
43.3,2018-03-08 02:30:00
70.4,2018-03-08 02:45:00
66.0,2018-03-08 03:00:00
85.7,2018-03-08 03:15:00
96.6,2018-03-08 03:30:00
123.3,2018-03-08 03:45:00
121.0,2018-03-08 04:00:00
201.7,2018-03-08 04:15:00
239.9,2018-03-08 04:30:00
306.3,2018-03-08 04:45:00
295.0,2018-03-08 05:00:00
319.0,2018-03-08 05:15:00
386.4,2018-03-08 05:30:00
396.3,2018-03-08 05:45:00
456.1,2018-03-08 06:00:00
631.4,2018-03-08 06:15:00
924.6,2018-03-08 06:30:00
1042.4,2018-03-08 06:45:00
1195.4,2018-03-08 07:00:00
1396.7,2018-03-08 07:15:00
1516.6,2018-03-08 07:30:00
1577.3,2018-03-08 07:45:00
1484.0,2018-03-08 08:00:00
1445.7,2018-03-08 08:15:00
1323.3,2018-03-08 08:30:00
1255.0,2018-03-08 08:45:00
1272.3,2018-03-08 09:00:00
1271.3,2018-03-08 09:15:00
1253.0,2018-03-08 09:30:00
1132.0,2018-03-08 09:45:00
1145.4,2018-03-08 10:00:00
1138.0,2018-03-08 10:15:00
1106.0,2018-03-08 10:30:00
1040.0,2018-03-08 10:45:00
975.0,2018-03-08 11:00:00
1044.6,2018-03-08 11:15:00
1069.6,2018-03-08 11:30:00
1050.3,2018-03-08 11:45:00
972.0,2018-03-08 12:00:00
1034.0,2018-03-08 12:15:00
1063.6,2018-03-08 12:30:00
1052.9,2018-03-08 12:45:00
1051.3,2018-03-08 13:00:00
1075.7,2018-03-08 13:15:00
1162.6,2018-03-08 13:30:00
1155.3,2018-03-08 13:45:00
1109.4,2018-03-08 14:00:00
1124.3,2018-03-08 14:15:00
1144.0,2018-03-08 14:30:00
1150.0,2018-03-08 14:45:00
1091.7,2018-03-08 15:00:00
1141.3,2018-03-08 15:15:00
1282.7,2018-03-08 15:30:00
1257.4,2018-03-08 15:45:00
1389.0,2018-03-08 16:00:00
1432.1,2018-03-08 16:15:00
1502.7,2018-03-08 16:30:00
1503.7,2018-03-08 16:45:00
1362.4,2018-03-08 17:00:00
1462.0,2018-03-08 17:15:00
1504.3,2018-03-08 17:30:00
1391.0,2018-03-08 17:45:00
1155.3,2018-03-08 18:00:00
1129.4,2018-03-08 18:15:00
1157.7,2018-03-08 18:30:00
1079.0,2018-03-08 18:45:00
1170.0,2018-03-08 19:00:00
1099.0,2018-03-08 19:15:00
1116.0,2018-03-08 19:30:00
973.3,2018-03-08 19:45:00
830.7,2018-03-08 20:00:00
759.7,2018-03-08 20:15:00
643.0,2018-03-08 20:30:00
611.6,2018-03-08 20:45:00
576.4,2018-03-08 21:00:00
578.6,2018-03-08 21:15:00
502.0,2018-03-08 21:30:00
431.3,2018-03-08 21:45:00
408.7,2018-03-08 22:00:00
428.0,2018-03-08 22:15:00
341.1,2018-03-08 22:30:00
299.3,2018-03-08 22:45:00
247.4,2018-03-08 23:00:00
234.3,2018-03-08 23:15:00
229.7,2018-03-08 23:30:00
168.3,2018-03-08 23:45:00
134.0,2018-03-09 00:00:00
109.6,2018-03-09 00:15:00
113.0,2018-03-09 00:30:00
94.7,2018-03-09 00:45:00
74.4,2018-03-09 01:00:00
69.4,2018-03-09 01:15:00
65.4,2018-03-09 01:30:00
63.0,2018-03-09 01:45:00
58.3,2018-03-09 02:00:00
60.0,2018-03-09 02:15:00
59.0,2018-03-09 02:30:00
72.9,2018-03-09 02:45:00
64.7,2018-03-09 03:00:00
117.3,2018-03-09 03:15:00
104.0,2018-03-09 03:30:00
117.7,2018-03-09 03:45:00
154.7,2018-03-09 04:00:00
208.0,2018-03-09 04:15:00
255.0,2018-03-09 04:30:00
299.6,2018-03-09 04:45:00
295.0,2018-03-09 05:00:00
310.0,2018-03-09 05:15:00
392.4,2018-03-09 05:30:00
439.4,2018-03-09 05:45:00
447.4,2018-03-09 06:00:00
637.7,2018-03-09 06:15:00
944.6,2018-03-09 06:30:00
1048.7,2018-03-09 06:45:00
1217.9,2018-03-09 07:00:00
1347.0,2018-03-09 07:15:00
1488.6,2018-03-09 07:30:00
1492.0,2018-03-09 07:45:00
1478.0,2018-03-09 08:00:00
1450.0,2018-03-09 08:15:00
1442.3,2018-03-09 08:30:00
1375.4,2018-03-09 08:45:00
1304.6,2018-03-09 09:00:00
1168.7,2018-03-09 09:15:00
1167.0,2018-03-09 09:30:00
1095.6,2018-03-09 09:45:00
1074.4,2018-03-09 10:00:00
1121.0,2018-03-09 10:15:00
1072.4,2018-03-09 10:30:00
1079.4,2018-03-09 10:45:00
1045.7,2018-03-09 11:00:00
1082.4,2018-03-09 11:15:00
1116.3,2018-03-09 11:30:00
1120.3,2018-03-09 11:45:00
1068.7,2018-03-09 12:00:00
1128.6,2018-03-09 12:15:00
