Round: 0, Step 0
MAPE: 0.0578: 10,26,24,8,22,0.4854,0.0112,0.4874,9
MAPE: 1.3054: 43,378,6,9,43,0.1651,0.0669,0.0205,2
MAPE: 0.2134: 17,94,38,8,18,0.3188,0.02,0.084,7
MAPE: 0.1085: 30,44,25,5,43,0.7178,0.0642,0.5524,10
MAPE: 0.3257: 49,184,13,8,4,0.3646,0.0163,0.3194,2
MAPE: 4.3353: 15,408,45,8,29,0.616,0.0425,0.1688,5
MAPE: 0.1633: 37,47,2,8,16,0.7012,0.0761,0.9329,5
MAPE: 1.0373: 19,416,38,7,41,0.6422,0.0962,0.3339,8
MAPE: 0.9336: 48,182,31,4,24,0.075,0.0117,0.7596,5
MAPE: 1.0134: 32,383,22,4,9,0.7939,0.085,0.7342,9
MAPE: 3.5304: 33,361,10,8,17,0.438,0.0387,0.5683,7
MAPE: 0.3709: 29,174,12,9,16,0.4382,0.0182,0.301,2
MAPE: 0.9351: 18,368,49,7,14,0.6567,0.0664,0.8257,6
MAPE: 0.5645: 46,222,15,6,46,0.7239,0.0545,0.4975,7
MAPE: 10.0288: 23,289,49,9,42,0.127,0.0601,0.3664,9
MAPE: 0.9849: 16,478,13,5,48,0.5955,0.0939,0.5389,3
MAPE: 0.9292: 36,275,26,2,8,0.9296,0.096,0.9659,4
MAPE: 0.9126: 3,291,37,7,4,0.2329,0.0735,0.0551,9
MAPE: 0.2030: 49,139,4,10,39,0.4542,0.053,0.9155,4
MAPE: 0.0521: 4,321,16,7,47,0.3606,0.0322,0.053,8
MAPE: 1.0847: 5,488,36,9,41,0.1907,0.0258,0.9614,4
MAPE: 0.1327: 40,101,16,7,13,0.7519,0.0891,0.3204,4
MAPE: 0.0598: 2,226,4,6,35,0.5683,0.0643,0.5997,9
MAPE: 0.0706: 27,443,18,2,12,0.7933,0.0307,0.7725,9
MAPE: 0.0455: 28,87,32,4,46,0.2236,0.0311,0.4824,5
MAPE: 0.0552: 10,202,34,5,4,0.4153,0.0474,0.4476,1
MAPE: 2.9993: 14,487,44,9,38,0.434,0.0944,0.3007,6
MAPE: 0.0520: 30,235,13,4,33,0.284,0.0412,0.3541,4
MAPE: 0.0854: 42,287,2,8,26,0.7789,0.0545,0.3108,9
MAPE: 0.0527: 9,154,25,9,7,0.3387,0.0579,0.6783,2
MAPE: 0.6206: 38,292,26,4,16,0.8905,0.0994,0.1752,3
MAPE: 1.6162: 34,395,41,4,11,0.0726,0.0439,0.5625,9
MAPE: 0.0486: 3,60,33,7,7,0.0964,0.0125,0.6487,4
