Round: 0, Step 0
MAPE: 0.0636: 39,26,32,8,25,0.2248,0.0278,0.7605,3
MAPE: 1.0216: 5,356,48,1,26,0.8126,0.0651,0.7218,4
MAPE: 1.2347: 46,370,28,2,19,0.6741,0.0498,0.434,7
MAPE: 2.0150: 26,339,30,8,27,0.9086,0.0387,0.0905,4
MAPE: 0.7001: 7,427,3,7,28,0.8193,0.0279,0.8569,4
MAPE: 0.0673: 38,163,44,4,9,0.3925,0.0184,0.8211,2
MAPE: 1.0659: 20,484,49,5,41,0.2514,0.0638,0.9028,6
MAPE: 0.0957: 30,35,19,2,16,0.3307,0.0796,0.04,5
MAPE: 0.1244: 16,332,18,1,44,0.7632,0.089,0.4175,6
MAPE: 0.5465: 26,313,14,4,2,0.3031,0.0318,0.5576,6
MAPE: 0.3865: 24,161,4,10,18,0.495,0.0979,0.4408,4
MAPE: 1.5663: 26,303,43,2,24,0.7819,0.0747,0.586,1
MAPE: 0.3785: 18,295,16,6,34,0.1592,0.0145,0.3378,2
MAPE: 6.7252: 10,455,19,3,38,0.1069,0.077,0.4698,6
MAPE: 0.0743: 8,107,33,1,13,0.5424,0.0304,0.3814,9
MAPE: 0.7628: 46,297,27,1,49,0.573,0.0813,0.5616,9
MAPE: 0.7659: 30,368,8,5,35,0.1046,0.0496,0.1662,6
MAPE: 0.0601: 41,61,40,6,30,0.1981,0.0493,0.2959,1
MAPE: 0.1160: 3,241,37,6,20,0.1681,0.0854,0.5991,8
MAPE: 0.7438: 43,315,39,7,2,0.7505,0.0258,0.4585,6
MAPE: 0.1219: 25,435,10,1,43,0.7427,0.0511,0.4169,2
MAPE: 0.1014: 18,63,36,2,11,0.5738,0.0364,0.6557,8
MAPE: 0.8763: 18,62,41,8,20,0.8645,0.0446,0.2573,8
MAPE: 0.9804: 37,268,33,3,45,0.9659,0.0385,0.8656,4
MAPE: 0.0948: 2,40,10,2,14,0.9136,0.0512,0.1302,8
MAPE: 0.1723: 21,28,43,3,36,0.3558,0.0815,0.8446,6
MAPE: 0.3437: 28,77,20,5,26,0.8918,0.037,0.3964,8
MAPE: 1.0904: 21,108,42,6,4,0.9889,0.0306,0.6147,4
MAPE: 1.9723: 40,327,41,4,14,0.6011,0.0945,0.7073,3
MAPE: 5.2684: 7,244,49,7,10,0.0467,0.0957,0.8586,8
MAPE: 11.5628: 48,313,47,2,7,0.372,0.079,0.3211,7
MAPE: 1.3921: 1,286,18,9,47,0.3841,0.0457,0.8973,2
MAPE: 0.1362: 21,81,5,8,16,0.5841,0.0891,0.8808,6
MAPE: 0.1406: 33,44,16,7,10,0.803,0.0563,0.7573,3
MAPE: 1.7778: 5,255,27,7,11,0.6714,0.0814,0.0417,10
MAPE: 0.5759: 49,289,4,4,2,0.8009,0.0287,0.1433,7
MAPE: 0.0975: 4,143,26,10,8,0.4495,0.0641,0.0973,4
MAPE: 1.8144: 36,289,42,6,10,0.6155,0.0898,0.5168,7
MAPE: 1.5456: 26,467,21,6,18,0.1296,0.0697,0.9357,7
MAPE: 0.2704: 42,124,45,1,12,0.1321,0.0917,0.9102,6
MAPE: 0.0814: 5,74,39,8,5,0.3575,0.0796,0.1315,6
MAPE: 1.9489: 38,151,29,5,28,0.4407,0.0724,0.7182,8
MAPE: 1.9394: 3,353,24,2,31,0.8379,0.0761,0.3216,2
MAPE: 0.5641: 3,293,9,3,13,0.0193,0.0237,0.0339,10
MAPE: 1.8953: 19,425,21,3,13,0.7731,0.0704,0.7063,9
MAPE: 0.6874: 27,236,28,7,40,0.8923,0.0378,0.1356,8
MAPE: 1.1889: 27,405,22,9,27,0.2504,0.0153,0.0919,3
MAPE: 1.1686: 23,418,46,6,15,0.6518,0.0674,0.5036,10
MAPE: 14.7958: 41,477,31,10,36,0.0087,0.0359,0.8414,5
MAPE: 0.0680: 9,73,40,7,26,0.2856,0.0673,0.3683,6
MAPE: 0.0656: 39,26,32,8,30,0.2248,0.0278,0.7263,3
MAPE: 0.0916: 5,280,30,5,44,0.4136,0.0651,0.3013,4
MAPE: 13.3087: 46,370,28,2,23,0.1191,0.0498,0.1264,7
MAPE: 1.5747: 26,301,38,8,27,0.9086,0.0406,0.0905,4
MAPE: 0.4152: 7,172,3,7,28,0.1166,0.0279,0.8569,6
MAPE: 0.0772: 38,163,44,4,9,0.3925,0.0184,0.8211,6
MAPE: 0.0941: 23,65,49,5,41,0.2514,0.0638,0.9028,6
MAPE: 0.0841: 30,121,19,2,2,0.3307,0.0421,0.04,5
MAPE: 0.8805: 38,332,49,6,44,0.7632,0.089,0.4175,6
MAPE: 1.9398: 26,313,40,3,24,0.3031,0.0938,0.7408,6
MAPE: 0.4245: 24,161,4,6,4,0.495,0.062,0.7088,8
MAPE: 1.5370: 26,303,43,10,24,0.7819,0.0747,0.586,1
MAPE: 0.4272: 18,295,16,9,34,0.1592,0.014,0.3378,5
MAPE: 1.1712: 10,223,19,6,38,0.1069,0.077,0.4698,6
MAPE: 0.0622: 8,107,33,3,13,0.5424,0.021,0.7113,6
MAPE: 1.7585: 46,297,33,4,15,0.573,0.0813,0.5616,2
