Round: 0, Step 0
MAPE: 0.2877: 26,399,44,1,16,0.9576,0.0562,0.3183,6
MAPE: 0.7835: 12,416,18,6,1,0.6732,0.0289,0.9326,4
MAPE: 25.2894: 38,395,44,2,16,0.4749,0.0706,0.2576,7
MAPE: 0.5224: 33,106,17,9,5,0.7466,0.0156,0.7315,8
MAPE: 2.2933: 21,508,23,3,18,0.7148,0.0422,0.0516,4
MAPE: 0.0587: 50,159,24,8,47,0.1754,0.0291,0.1325,3
MAPE: 0.0990: 50,138,6,6,23,0.7345,0.0659,0.6211,2
MAPE: 0.0955: 27,76,8,5,22,0.7337,0.0166,0.2788,2
MAPE: 0.0550: 26,303,32,3,21,0.4668,0.0175,0.5703,3
MAPE: 0.6626: 3,494,5,8,26,0.0926,0.0572,0.4342,6
MAPE: 0.4648: 47,510,33,4,23,0.7755,0.0666,0.098,7
MAPE: 0.0498: 48,134,20,2,41,0.2895,0.0248,0.1631,4
MAPE: 1.2144: 1,387,43,9,16,0.4741,0.0766,0.6506,3
MAPE: 1.0481: 20,465,37,2,11,0.8883,0.0471,0.2045,4
MAPE: 0.7260: 21,391,8,9,20,0.4769,0.0217,0.2722,10
MAPE: 0.0631: 24,92,28,7,43,0.4286,0.0962,0.1957,6
MAPE: 0.0629: 21,154,31,2,25,0.4741,0.0762,0.2935,3
MAPE: 146.9163: 11,503,23,10,45,0.4409,0.0469,0.661,9
MAPE: 5.3730: 40,251,25,3,31,0.0633,0.0614,0.0915,6
MAPE: 3.2239: 30,399,27,7,27,0.2656,0.038,0.4431,4
MAPE: 1.1458: 29,221,48,6,24,0.9955,0.0303,0.4543,5
MAPE: 7.2629: 38,299,35,5,12,0.1469,0.0329,0.3959,2
MAPE: 0.0697: 40,50,3,3,12,0.2647,0.0113,0.3852,7
MAPE: 0.0795: 6,360,6,9,23,0.5643,0.048,0.8031,4
MAPE: 1.1241: 17,73,41,2,6,0.697,0.0945,0.0986,4
MAPE: 1.1022: 7,213,29,8,22,0.7766,0.0458,0.4694,5
MAPE: 0.0614: 12,174,49,2,32,0.1425,0.0559,0.1926,1
MAPE: 1.1628: 26,236,34,3,48,0.4293,0.0687,0.6904,10
MAPE: 1.1866: 34,107,33,8,42,0.4646,0.0702,0.9211,5
MAPE: 0.8471: 17,244,26,2,18,0.286,0.0431,0.8318,6
MAPE: 0.0588: 11,152,46,2,20,0.4732,0.0604,0.9744,5
MAPE: 5.0348: 17,428,48,2,50,0.7327,0.0266,0.1119,2
MAPE: 0.0661: 31,173,27,3,48,0.5745,0.0853,0.3337,9
MAPE: 1.8555: 23,215,40,5,44,0.41,0.0186,0.4829,8
MAPE: 0.9835: 8,109,35,10,9,0.9971,0.0503,0.7747,7
MAPE: 54.8159: 48,437,19,4,28,0.4356,0.0324,0.5028,5
MAPE: 493.7606: 34,509,27,10,42,0.3531,0.0594,0.9103,4
MAPE: 14.3590: 12,495,13,9,5,0.1766,0.0768,0.9599,4
MAPE: 0.1870: 21,260,25,7,50,0.6641,0.0958,0.565,2
MAPE: 4.3976: 26,367,28,5,5,0.6595,0.0455,0.7433,10
MAPE: 1.5630: 33,225,37,4,33,0.9848,0.0618,0.6212,6
MAPE: 0.6462: 24,511,10,2,36,0.8779,0.0491,0.805,8
MAPE: 3.4506: 40,461,36,5,49,0.2113,0.0545,0.4577,2
MAPE: 0.0596: 49,48,41,8,6,0.3776,0.0301,0.9082,7
MAPE: 0.0567: 12,244,44,10,19,0.4792,0.0307,0.1968,6
MAPE: 0.1429: 24,500,4,2,15,0.808,0.0834,0.0096,5
MAPE: 0.0622: 2,25,41,3,36,0.7283,0.0551,0.1466,5
MAPE: 1.7962: 34,389,3,9,46,0.1113,0.0547,0.2764,5
MAPE: 3.6928: 13,384,40,4,16,0.2431,0.0153,0.5672,8
MAPE: 0.5708: 26,75,44,5,6,0.9576,0.0117,0.4957,4
MAPE: 0.5973: 12,325,18,8,1,0.6732,0.0171,0.9326,4
MAPE: 0.1551: 38,306,3,2,4,0.5317,0.0789,0.2576,4
MAPE: 0.4214: 33,106,17,9,28,0.7466,0.0156,0.7315,8
MAPE: 1.6753: 21,508,27,3,14,0.7148,0.0442,0.0516,4
MAPE: 0.0556: 50,159,24,5,24,0.1754,0.0291,0.1325,3
MAPE: 0.0856: 50,95,6,6,10,0.5854,0.0659,0.6878,2
MAPE: 0.0808: 37,76,12,7,22,0.7337,0.0166,0.2788,6
MAPE: 0.0612: 49,48,13,3,21,0.4668,0.0175,0.5703,10
MAPE: 0.1998: 19,194,5,8,27,0.9454,0.0572,0.4342,5
MAPE: 1.3697: 18,510,16,4,23,0.9133,0.0994,0.098,7
MAPE: 0.0519: 17,134,20,2,23,0.2895,0.0248,0.1631,4
MAPE: 1.2439: 1,387,43,8,16,0.4741,0.0766,0.6506,5
MAPE: 0.9095: 20,465,37,3,11,0.8883,0.0471,0.2045,4
MAPE: 0.0662: 21,73,8,9,20,0.4769,0.0217,0.9002,10
MAPE: 0.0609: 14,92,28,8,43,0.4286,0.0962,0.1957,6
MAPE: 0.0523: 21,154,31,7,25,0.4741,0.027,0.2935,3
MAPE: 69.0776: 5,503,23,10,45,0.4685,0.043,0.661,9
MAPE: 47.7890: 40,251,38,3,31,0.0633,0.0614,0.0915,6
MAPE: 1.3501: 30,399,13,7,27,0.0475,0.0156,0.3058,4
MAPE: 0.7332: 29,221,48,6,24,0.9955,0.0303,0.4543,2
MAPE: 5.2622: 49,299,35,5,12,0.1469,0.0329,0.3959,2
MAPE: 0.0480: 40,311,26,3,13,0.2647,0.0113,0.3852,7
MAPE: 0.0793: 6,360,6,9,23,0.5643,0.0864,0.5839,4
MAPE: 0.1127: 17,73,41,2,6,0.7009,0.0945,0.0986,6
MAPE: 0.0771: 7,139,29,8,22,0.7766,0.0458,0.4694,5
MAPE: 0.0520: 13,174,49,2,13,0.1425,0.0559,0.1926,7
MAPE: 0.0501: 17,236,34,3,48,0.4293,0.0677,0.6904,6
MAPE: 0.0686: 34,107,33,2,14,0.4646,0.0702,0.9211,5
MAPE: 0.4788: 17,265,26,9,18,0.286,0.0303,0.8318,6
MAPE: 0.0686: 15,152,46,2,20,0.4732,0.0604,0.3783,5
MAPE: 1.6813: 17,428,48,2,50,0.7327,0.0259,0.1119,2
MAPE: 0.1458: 28,173,27,3,48,0.9033,0.0853,0.3337,9
MAPE: 4.4685: 23,275,40,5,44,0.5642,0.0186,0.1376,8
MAPE: 0.0812: 8,16,35,10,3,0.5778,0.0503,0.7747,7
MAPE: 8.6900: 43,437,19,4,28,0.4356,0.0324,0.5028,5
MAPE: 0.0869: 34,488,19,10,42,0.3531,0.052,0.9103,2
MAPE: 0.1117: 12,197,9,9,5,0.6966,0.0768,0.8985,4
MAPE: 1.0537: 33,260,25,3,37,0.4353,0.0709,0.6209,6
MAPE: 0.0818: 24,367,30,5,5,0.6595,0.0455,0.5498,10
MAPE: 1.0803: 33,225,37,4,33,0.9848,0.0236,0.6212,5
MAPE: 4.2569: 24,511,42,2,36,0.8779,0.0491,0.805,8
MAPE: 0.8538: 25,241,36,10,49,0.9142,0.0545,0.6151,5
MAPE: 0.0621: 15,48,25,8,6,0.3776,0.0301,0.6787,5
MAPE: 31.5962: 12,510,34,4,48,0.4792,0.0333,0.917,9
MAPE: 0.1020: 24,500,6,2,8,0.808,0.0361,0.0096,5
MAPE: 0.0685: 2,25,41,3,36,0.7283,0.0551,0.1466,5
MAPE: 0.0680: 34,389,3,9,46,0.1113,0.0547,0.5194,5
MAPE: 0.0530: 13,384,40,6,20,0.2431,0.0422,0.5672,8
Step: 0, min MAPE: 0.048033915, hyperparameter: [40.20164831155253, 310.7321222428357, 25.99003043109751, 2.7936485285092707, 13.178628876597195, 0.264655951536073, 0.011305854550325888, 0.38524351596789475, 7.144437728004858]
Round: 0, Step 1
MAPE: 0.1200: 38,306,3,4,4,0.5317,0.0633,0.9402,4
MAPE: 2.9491: 50,159,24,5,24,0.1754,0.0664,0.1325,9
MAPE: 0.0840: 50,95,6,3,10,0.5854,0.0659,0.6878,2
MAPE: 0.0478: 19,76,12,7,22,0.3055,0.0166,0.2788,6
MAPE: 0.8175: 26,303,46,3,21,0.4668,0.0175,0.2975,3
